route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6612,2,14449495,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449496,2 Macdonald/To Burrard Station,,0,2131727,300645,0,1
6612,2,14449497,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449498,2 Macdonald/To Burrard Station,,0,2131730,300645,0,1
6612,2,14449499,2 Macdonald/To Burrard Station,,0,2131732,300646,0,1
6612,2,14449500,2 Macdonald/To Burrard Station,,0,2131733,300645,0,1
6612,2,14449501,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449502,2 Macdonald/To Burrard Station,,0,2131727,300645,0,1
6612,2,14449503,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449504,2 Macdonald/To Burrard Station,,0,2131730,300645,0,1
6612,2,14449505,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449506,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449507,2 Macdonald/To Burrard Station,,0,2131733,300645,0,1
6612,2,14449508,2 Macdonald/To Burrard Station,,0,2131732,300646,0,1
6612,2,14449509,2 Macdonald/To Burrard Station,,0,2131727,300645,0,1
6612,2,14449510,2 Macdonald/To Burrard Station,,0,2136467,300646,0,1
6612,2,14449511,2 Macdonald/To Burrard Station,,0,2131730,300645,0,1
6612,2,14449512,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449513,2 Macdonald/To Burrard Station,,0,2131726,300645,0,1
6612,2,14449514,2 Macdonald/To Burrard Station,,0,2131728,300646,0,1
6612,2,14449515,2 Macdonald/To Burrard Station,,0,2131732,300645,0,1
6612,2,14449516,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449517,2 Macdonald/To Burrard Station,,0,2136467,300645,0,1
6612,2,14449518,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449519,2 Macdonald/To Burrard Station,,0,2131731,300645,0,1
6612,2,14449520,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449521,2 Macdonald/To Burrard Station,,0,2131728,300645,0,1
6612,2,14449522,2 Macdonald/To Burrard Station,,0,2131730,300646,0,1
6612,2,14449523,2 Macdonald/To Burrard Station,,0,2136466,300645,0,1
6612,2,14449524,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449525,2 Macdonald/To Burrard Station,,0,2131733,300645,0,1
6612,2,14449526,2 Macdonald/To Burrard Station,,0,2131732,300646,0,1
6612,2,14449527,2 Macdonald/To Burrard Station,,0,2131727,300645,0,1
6612,2,14449528,2 Macdonald/To Burrard Station,,0,2136467,300646,0,1
6612,2,14449529,2 Macdonald/To Burrard Station,,0,2131730,300645,0,1
6612,2,14449530,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449531,2 Macdonald/To Burrard Station,,0,2131726,300645,0,1
6612,2,14449532,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449533,2 Macdonald/To Burrard Station,,0,2131732,300645,0,1
6612,2,14449534,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449535,2 Macdonald/To Burrard Station,,0,2136467,300645,0,1
6612,2,14449536,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449537,2 Macdonald/To Burrard Station,,0,2131731,300645,0,1
6612,2,14449538,2 Macdonald/To Burrard Station,,0,2131730,300646,0,1
6612,2,14449539,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449540,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449541,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449542,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449543,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449544,2 Macdonald/To Burrard Station,,0,2131730,300646,0,1
6612,2,14449545,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449546,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449547,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449548,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449549,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449550,2 Macdonald/To Burrard Station,,0,2131730,300646,0,1
6612,2,14449551,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449552,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449553,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449554,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449555,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449556,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449557,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449558,2 Macdonald/To Burrard Station,,0,2131733,300646,0,1
6612,2,14449559,2 Macdonald/To Burrard Station,,0,2131727,300646,0,1
6612,2,14449560,2 Macdonald/To Burrard Station,,0,2131731,300646,0,1
6612,2,14449561,2 Macdonald/To Burrard Station,,0,2131726,300646,0,1
6612,2,14449562,2 Macdonald/To Burrard Station,,0,2136466,300646,0,1
6612,2,14449563,2 Macdonald/To Dunbar Loop,,1,2131727,300648,0,1
6612,2,14449564,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449565,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449566,2 Macdonald/To Dunbar Loop,,1,2131733,300648,0,1
6612,2,14449567,2 Macdonald/To Dunbar Loop,,1,2131727,300648,0,1
6612,2,14449568,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449569,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449570,2 Macdonald/To Dunbar Loop,,1,2131733,300648,0,1
6612,2,14449571,2 Macdonald/To Dunbar Loop,,1,2131727,300648,0,1
6612,2,14449572,2 Macdonald/To 16th Avenue,,1,2131732,300647,0,1
6612,2,14449573,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449574,2 Macdonald/To 16th Avenue,,1,2131731,300647,0,1
6612,2,14449575,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449576,2 Macdonald/To 16th Avenue,,1,2131733,300647,0,1
6612,2,14449577,2 Macdonald/To Dunbar Loop,,1,2131732,300648,0,1
6612,2,14449578,2 Macdonald/To 16th Avenue,,1,2131727,300647,0,1
6612,2,14449579,2 Macdonald/To Dunbar Loop,,1,2131731,300648,0,1
6612,2,14449580,2 Macdonald/To 16th Avenue,,1,2131730,300647,0,1
6612,2,14449581,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449582,2 Macdonald/To 16th Avenue,,1,2131733,300647,0,1
6612,2,14449583,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449584,2 Macdonald/To 16th Avenue,,1,2131727,300647,0,1
6612,2,14449585,2 Macdonald/To Dunbar Loop,,1,2131732,300648,0,1
6612,2,14449586,2 Macdonald/To 16th Avenue,,1,2131730,300647,0,1
6612,2,14449587,2 Macdonald/To Dunbar Loop,,1,2131731,300648,0,1
6612,2,14449588,2 Macdonald/To 16th Avenue,,1,2131733,300647,0,1
6612,2,14449589,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449590,2 Macdonald/To 16th Avenue,,1,2131727,300647,0,1
6612,2,14449591,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449592,2 Macdonald/To 16th Avenue,,1,2131730,300647,0,1
6612,2,14449593,2 Macdonald/To Dunbar Loop,,1,2131732,300648,0,1
6612,2,14449594,2 Macdonald/To 16th Avenue,,1,2131733,300647,0,1
6612,2,14449595,2 Macdonald/To Dunbar Loop,,1,2131731,300648,0,1
6612,2,14449596,2 Macdonald/To 16th Avenue,,1,2131727,300647,0,1
6612,2,14449597,2 Macdonald/To Dunbar Loop,,1,2131728,300648,0,1
6612,2,14449598,2 Macdonald/To 16th Avenue,,1,2131730,300647,0,1
6612,2,14449599,2 Macdonald/To Dunbar Loop,,1,2136466,300648,0,1
6612,2,14449600,2 Macdonald/To 16th Avenue,,1,2131726,300647,0,1
6612,2,14449601,2 Macdonald/To Dunbar Loop,,1,2131733,300648,0,1
6612,2,14449602,2 Macdonald/To 16th Avenue,,1,2131732,300647,0,1
6612,2,14449603,2 Macdonald/To Dunbar Loop,,1,2131727,300648,0,1
6612,2,14449604,2 Macdonald/To 16th Avenue,,1,2136467,300647,0,1
6612,2,14449605,2 Macdonald/To Dunbar Loop,,1,2131730,300648,0,1
6612,2,14449606,2 Macdonald/To 16th Avenue,,1,2131731,300647,0,1
6612,2,14449607,2 Macdonald/To Dunbar Loop,,1,2131726,300648,0,1
6612,2,14449608,2 Macdonald/To 16th Avenue,,1,2131728,300647,0,1
6612,2,14449609,2 Macdonald/To Dunbar Loop,,1,2131732,300648,0,1
6612,2,14449610,2 Macdonald/To 16th Avenue,,1,2136466,300647,0,1
